Timestamp,"1.I consent to the use of my responses.
2.I understand that my participation is voluntary and unpaid.
3.I acknowledge that I have the right to skip any specific question.
4.I understand that my identity will remain anonymous and only my responses will be shared.
5.I am aware that the data collected may be used for assignments, presentations, and other forms of public dissemination.",Q1. Which gate do you use to enter the university campus?,Q2. Do you feel any inconvenience entering the university?,Q3. What difficulties do you face while entering the university?,Q4. How often do you face these difficulties?,"Q5. What consequences have you faced due to this? 
(example: running late for class)",Q6. In your opinion what should be the appropriate solution for this problem?,"Q7. If we are not able to solve the problem, do you think there should be a change in 5 min late policy?",
2024/09/10 11:01:58 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points,1-2 days a week,missing attendance ,"let students enter from multiple gates, classes in the morning should not have the 1 minute/5 minute rule, it should be extended to 10 minutes",Yes,
2024/09/10 11:11:18 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Misplaced cards in bags,3-4 days a week,compromised attendance,open gate at peak hours to overcome the queue delays,Yes,
2024/09/10 11:12:40 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points,Everyday,"Running late for class, waiting outside in hot weather in long queues",Open gate 2 for student entry,Yes,
2024/09/10 11:18:32 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 2,Yes,Queue delays;Card not working/deactivation;Limited entry points;Time-based access restrictions,1-2 days a week,,"Gate 4 opened for student entry, biometric face/thumbprint recognition is faster ",Yes,
2024/09/10 11:38:17 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points;Time-based access restrictions,1-2 days a week,I missed the attendance time limit for two classes this week. ,Students should be allowed to enter the univeristy from gate 2 if i remember it correctly (the main entrance). ,Yes,
2024/09/10 11:41:42 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays,1-2 days a week,Late for classes,Either open both gates 2 and 4 or make 2 queues at gate 4.,No,
2024/09/10 11:50:04 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Card not working/deactivation;Misplaced cards in bags;Limited entry points,1-2 days a week,Running late,Don't protect the gate 2 and if there is a queue let the students enter directly and not by scanning cards. And pls mame the attendance threshold at least 10 mins,Yes,
2024/09/11 12:06:35 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points;Time-based access restrictions,3-4 days a week,,,,
2024/09/11 12:11:12 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays,1-2 days a week,Absences marked in the 8.30 lectures due to the delay of a minute or two,Open the access for gate 2 as well or maybe do not implement the five minute rule for attendance ,Yes,
2024/09/11 12:32:22 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,No issues,No such difficulties,,,Yes,
2024/09/11 12:33:10 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points;Time-based access restrictions,1-2 days a week,I missed the attendance time limit for two classes this week. Fortunately since attendance for these classes was marked manually the professors were considerate enough to mark me as present. If biometric attendance had been in use I would have been marked late,Aloow students to enter through other gates as well or to make attendance time limit for morning classes a bit flexible ,Yes,
2024/09/11 12:52:20 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,Queue delays;Scanner malfunctioning;Limited entry points;Time-based access restrictions,3-4 days a week,running across campus to reach classes. being embarrassed in front of a whole queue when the scanner malfunctions.,,Yes,
2024/09/11 8:12:37 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays,1-2 days a week,I got late for my rhetcomm lecture on monday but it was all sorted out and i was marked present (not tardy).,"they should open the entire gate 4, including the one that doesn’t require scanning the card(like the one that was opened when the scanner wasn’t working during the rain). also they should allow entry via gate 2 as well in such situations where a lot of the students have a class at the same time.",Yes,
2024/09/11 10:29:08 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points;Time-based access restrictions,3-4 days a week,"Running late for class, thinking the scanner has worked only to bump into it, etc.","Gate 2 should be open, at least for the first couple of hours of the day. From 8:30 to 10 am maybe, both gates could be open for entry",Yes,
2024/09/11 10:56:43 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays,1-2 days a week,Getting late for the class with no compensation for it ,Allowing multiple entry gates ,Yes,
2024/09/11 11:49:39 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays,1-2 days a week,Missed attendance.,Making Gate 4 and 2 functional. Gate 2 for students with 8:30 classes and gate 4 for the rest.,Yes,
2024/09/11 12:17:42 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Limited entry points;Time-based access restrictions,1-2 days a week,"Sometimes the scanner doesn't work even when the card has been swiped multiple times, causing holdup especially when there's a long line on the gate.",The scanners should be regularly checked and maintained. There should be more entry points ,Yes,
2024/09/11 12:32:39 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 2,Yes,Queue delays;Limited entry points;Time-based access restrictions,Everyday,Gotten late to classes,Gate 2 and 4 both be opened.,Yes,
2024/09/11 1:40:21 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,No,Queue delays;Scanner malfunctioning;Misplaced cards in bags,Everyday,,,Yes,
2024/09/11 2:56:01 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Misplaced cards in bags;Limited entry points,1-2 days a week,"Instead of one rotating gate at gate 4, add one more so total are 2.",Add another rotating gate at gate 4.,Yes,
2024/09/11 5:13:36 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points,1-2 days a week,I was late to the first lecture of the semester ,"Make the gate bigger, let multiple people pass at once. Make the gate faster ",Yes,
2024/09/11 5:31:39 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Misplaced cards in bags;Limited entry points,1-2 days a week,Arriving late for classes when I arrived at university on time,Allow entry for pedestrians from gate 2 as well as gate 4,Yes,
2024/09/11 6:19:06 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Limited entry points,1-2 days a week,Running late. ,More gates.,Yes,
2024/09/12 6:15:44 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Misplaced cards in bags;Limited entry points;Time-based access restrictions,3-4 days a week,ran late for rhet comm n being mismarked absent,open the other gates up,Yes,
2024/09/14 6:54:35 PM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Limited entry points,1-2 days a week,I get late into the class on Mondays because of the queues outside campus. ,Students should be allowed to use the front gate. ,Yes,
2024/09/16 8:11:53 AM GMT+5,I have read and fully understand the explanation provided to me.,Gate 4,Yes,Queue delays;Scanner malfunctioning;Misplaced cards in bags;Limited entry points,1-2 days a week,"Yes, I have been late to class because of long queues esp at 8:30 am ",Make both gates functional? ,Yes,
